smile,classe
CC[C@H](C)C(=O)C(=O)N[C@H]1Cc2ccc(O)c(c2)-c2cccc3c2NC(=O)[C@@]3(O)[C@@H](O)[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N\C=C/C,CHEBI_35610
[O-]C(=O)CCCC(=O)C([O-])=O,CHEBI_77746
C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(CCCCCCCCCCCCCCC)=O)COC(=O)CCCCCCCCCCCCC,CHEBI_75771
OC(=O)c1cc(ccc1O)S(O)(=O)=O,CHEBI_25212
[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(O)=O,CHEBI_76924
CC(=O)OCC[N+](C)(C)C,CHEBI_77746
OC(=O)Cc1ccc(O)cc1,CHEBI_77746
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCCN)CC(C)C,CHEBI_16670
Oc1ccc2nccc(O)c2c1,CHEBI_75771
O=C(N1[C@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CCC(O)=O,CHEBI_16670
S(CC[C@H](NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](CO)C(O)=O)C,CHEBI_16670
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](CO)[C@@H]1CC3,CHEBI_77746
C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,CHEBI_25212
CCCCCCCCCCCCCCC\C(O)=C1/C(=O)C(C)N(C)C1=O,CHEBI_25212
C12=CC(=C(C=C1C(=NC=N2)NC=3C=CC=C(C3)Cl)OC)OC,CHEBI_35610
O=C(N[C@@H]([C@H](CC)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)C)CC1=CC=CC=C1,CHEBI_16670
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC([*])=O,CHEBI_75771
CC(C)=CCc1ccc2c(oc3cccc(O)c3c2=O)c1O,CHEBI_76924
[H][C@@]1(CC[C@]2([H])[C@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)C[C@@]33OO[C@@]21C=C3)[C@H](C)\C=C\[C@@H](C)C(C)C,CHEBI_25212
S(CC[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)C,CHEBI_25676
C=1C=CC=C(C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(O)=O)O)O)O,CHEBI_75771
O=C(N[C@H](C(=O)N[C@@H](CC(O)=O)C(O)=O)C)[C@@H](N)CCCN=C(N)N,CHEBI_25676
CCC(=O)O[C@@H]1[C@@H]2[C@@]34CO[C@]2([C@@H](O)[C@H](O)[C@@H]3[C@@]2(C)CC(=O)C(OC(=O)CC)=C(C)[C@@H]2C[C@H]4OC1=O)C(=O)OC,CHEBI_76924
OCC(Cl)(Cl)Cl,CHEBI_75771
C[C@H]1C\C=C\[C@H]2[C@H](O)C(C)=C(C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@]23C(=O)\C=C\C(=O)[C@H](O)\C(C)=C\1,CHEBI_35610
O=C(N[C@@H](CC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)C)CC=1C=2C(NC1)=CC=CC2,CHEBI_16670
[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(O)=O)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,CHEBI_75771
C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*],CHEBI_25212
O=C(N[C@@H](CCCCN)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)N)[C@H](CC)C,CHEBI_16670
O=C(N[C@@H](C(C)C)C(=O)N[C@@H]([C@H](O)C)C(O)=O)[C@H]1NCCC1,CHEBI_25676
S(CC[C@H](NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(O)=O)C,CHEBI_16670
Nc1nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2c(=O)[nH]1,CHEBI_75771
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CHEBI_77746
CC1CCCCC1,CHEBI_77746
